class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,42734,196,176,0,0,0,0,0,0,334,55250,1453824,873340,56552,376,1193888,0,0,0,0,0,2227660,2033226,291274,164166,0,0,0,0,420,170,0,0,0,0,0,76536,1116164,1014486,232490,0,4150,1122,1006,1454,55994,2374046,1876,20,8,0,767638,560536,231036,196760,172614,148944,142684,219448,16,0,2519124,42,58,2908,2,1193888,31826,160784,130140,138120,139640,,10640,42733.15,2519124,2519124,2522950,17331,18650,8008,96540,2439676,1209600,66478,0,84,0,2119166.4,0.0,318036.48,18,418,0,0,0,3902,554278,1414102,451418,13726,2228,22,40,48,2519124,3482,306,48552,194126,121354,1449976,614136,7442,302,0,334,418,2071108,397536,0,32,0,0,2129344,1052,260,0,0,0,0,0,0,0,0,13722,28866,6976,0,0,73982,15216,37180,8056,0,0,0,0,3042630,846.02,698,331916,302188,219380,105736,225216,240998,222214,310104,470042,11882,0,0
neg,9548,354,336,0,0,0,0,0,0,114,38330,402530,156736,10208,1168,265056,0,0,0,0,0,541046,455492,103740,73976,0,0,0,0,1176,228,0,0,0,0,0,3484,191672,413930,0,0,412,188,332,121186,256442,230480,46,0,0,0,165678,198550,53732,29710,19874,18328,44938,77454,822,0,644900,4,12,80,6,265056,7598,43520,59090,,,,102580,9547.99,644900,644900,648762,4452,2916,63778,643660,609086,1209600,21582,2,16,0,556503.36,0.0,52159.68,0,0,0,0,0,9270,170644,304604,118736,4706,1028,98,12,16,644900,906,112,7266,30440,25948,358236,179198,6896,84,0,496,706,517154,32818,0,6,0,0,559398,370,62,0,0,0,0,0,0,0,0,4468,3728,582,0,0,24020,4150,173600,24150,0,0,0,0,8548030,219.54,268,55934,144876,82408,34792,68994,56156,52844,59740,50410,2932,0,0
neg,2504,2130706434,68,0,0,0,0,0,47204,88722,34084,3202,0,0,0,49088,0,0,0,14636,21718,140244,131698,374534,12770,0,0,0,0,72,98,0,0,0,0,0,0,0,35042,138170,0,308,112,542,1746,1566,14008,153978,162,790,0,99056,51878,14488,4236,1618,1042,468,250,94,82,529558,100,42,140,2,49088,1418,347526,26308,,,,373580,2503.31,529558,529558,560494,792,0,52330,528640,173930,1209600,4076,4,16,0,129712.32,0.0,42888.96,20,70,0,1424,47654,100384,22142,1580,26,2,0,0,12,90,529558,1346,30,3032,7600,33634,125162,2402,6,0,0,156,188,131240,83560,0,24,0,0,131474,244,266,0,0,0,0,0,0,0,0,1528,0,0,65558,8986,2510,438,1034440,103446,442056,698,0,0,1503370,2.8,174,45276,19080,7864,2624,9986,45138,42838,406,0,0,0,0
neg,48,34,28,0,0,0,0,242,7588,9116,3368,1538,0,0,0,4452,0,0,0,5440,8168,12610,13206,9362,1944,0,0,0,0,58,18,0,0,0,0,0,0,0,244,21608,0,68,4,6,600,606,458,8122,196,11792,0,18632,1546,436,208,150,206,106,412,126,30,27446,2,12,0,2,4452,266,3648,5688,,,,9100,48.64,27446,27446,28892,65,0,2570,27140,21908,1209600,620,4,8,0,5322.24,0.0,15346.56,2,16,0,7812,8554,2524,1974,550,438,0,0,0,6,12,27446,1266,4,664,228,8690,10094,904,2,0,0,50,28,5744,142,0,32,0,0,6164,102,42,0,0,0,0,0,0,0,0,336,0,0,0,0,44,12,20720,2046,0,0,0,0,0,114.32,60,16750,3328,670,158,230,176,170,370,0,0,0,0
neg,15706,78,52,0,0,0,0,0,21156,668494,245178,10124,0,0,0,475890,0,0,0,43554,62496,821908,766518,358832,69348,2,0,0,0,84,58,0,0,0,0,0,0,0,90368,854584,0,2146,616,1192,1854,497614,441530,0,0,0,0,196208,277434,157740,116436,58170,34348,24446,23474,16188,40508,1224518,140,88,2104,0,475890,12912,251016,107482,353120,1310700,1310700,3860,15705.95,1224518,1224518,1230644,5368,1908,10,12800,944952,1209600,22804,0,164,0,790294.08,0.0,152238.72,,,0,360,323744,539330,67018,10802,2884,792,22,0,40,48,1224518,1898,146,5624,80006,45848,342822,461472,7120,16,0,52,102,649600,421456,40,714,0,0,805198,1016,570,0,0,0,0,0,0,0,0,7354,1744,838,1323698,182742,21712,3474,60320,10616,1195718,8976,0,0,14705990,,,161034,130178,54494,19886,50700,81908,112006,332002,2744,0,0,0
neg,238,48,42,0,0,0,0,0,0,2366,42082,31586,38,0,0,27202,0,0,0,350,758,74656,63146,37700,5348,0,0,0,0,38,22,0,0,0,0,0,0,0,17348,58724,0,446,60,72,314,882,25488,48808,2,0,0,66302,4180,2412,974,956,424,320,416,84,4,112786,4,0,2,0,27202,750,26284,11274,,,,36820,238.66,112786,112786,118898,134,0,10818,111980,76272,1209600,1434,4,4,0,18033.6,0.0,56943.36,2,66,0,0,1326,17460,45628,9806,1782,52,18,0,24,44,112786,1448,44,958,24548,9026,17102,21014,1872,60,0,30,28,20492,4646,0,4,0,0,20754,390,168,0,0,0,0,0,0,0,0,782,4,4,4862,1598,400,92,10740,1078,422,18,0,0,0,249.02,188,58930,8248,844,132,174,330,816,6344,254,0,0,0
neg,26,58,,0,0,0,0,0,0,108,0,5800,4690,0,0,2892,0,0,0,0,0,10428,7422,9676,1212,0,0,0,0,98,66,0,0,0,0,0,0,7842,0,2756,0,2856,36,32,58,5400,2216,0,0,0,0,8122,934,164,272,70,442,594,0,0,0,20118,0,2,4,0,2892,214,6630,3014,,,,9540,26.97,20118,20118,27126,43,0,1884,19920,10598,1209600,588,,,,4119.36,0,3672.96,0,0,0,0,0,280,2642,6388,1094,194,0,0,,6,20118,2874,12,44,646,718,2742,2712,828,22,0,,,,,,,,,,84,58,0,0,0,0,0,0,0,0,176,0,0,0,0,274,74,6060,606,0,0,0,0,0,780.26,72,6812,3092,538,82,64,10,0,0,0,0,0,0
pos,183146,,,,,0,0,0,268,343900,4288312,6093494,588076,5110,0,4472058,0,0,,3882,8914,9401840,7711802,4182538,1451240,,0,0,0,,,0,0,0,0,0,707778,4636950,4156820,1817612,0,13486,12488,18558,37394,4175114,7046290,15830,0,0,0,3220140,1987952,881370,696242,594398,648878,1231994,1853764,202850,1572,13590108,,,,,4472058,172636,3037706,1140014,367380,374640,517640,85400,183145.99,13590108,13590108,,97056,,,256200,,1209600,,,,,10519042.56,0.0,792806.4,,,0,0,49366,1720946,5785574,3430630,263544,52134,16546,420,,,13590108,11416,2254,532978,264248,682180,8954418,828784,42880,2,0,,,,,,,,,,,,,,,,,,,,101120,,,,,,,,,,,,,,,,850624,2302952,1609610,823968,1604146,1327514,1128626,1060524,606020,5176,,
neg,12,36,,0,0,0,0,0,0,106,1514,1938,0,0,0,1548,0,0,0,0,0,2714,1368,11470,440,0,0,0,0,0,40,0,0,0,0,0,0,0,0,3558,0,944,12,16,10,404,2172,0,0,0,0,2262,432,100,102,130,32,12,352,116,20,14192,0,0,0,0,1548,100,10290,1170,,,,11380,12.75,14192,14192,8604,24,60,1358,14060,3558,1209600,0,,,,1482.24,0,1327.68,0,16,0,0,76,1462,1170,378,472,0,0,0,,0,14192,924,4,18,408,66,2008,130,0,0,0,,,,,,,,,,30,40,0,0,0,0,0,0,0,0,92,0,0,968,446,56,22,2920,368,15672,40,0,0,0,30.2,28,2164,996,266,52,58,12,10,0,0,0,0,0
neg,40232,82,52,0,0,0,0,0,0,146,120710,2004306,540174,11618,0,1283324,0,0,0,0,0,2431346,2212384,346954,176552,0,0,0,0,90,26,0,0,0,0,0,6606,400244,1669462,600642,0,1548,1130,1098,1190,35256,2635948,784,0,0,0,899442,743924,360226,219760,148658,108308,91586,104982,68,0,2778770,706,676,138,2,1283324,33584,181016,165110,148800,153600,,40420,40231.16,2778770,2778770,2791664,15121,17754,33388,354700,2676954,1209600,69514,2,110,0,2378046.72,0.0,297159.36,0,750,0,0,0,380,889122,1500472,269594,14334,3052,0,0,4,2778770,3238,488,1500,126782,161894,1105860,1260484,16488,220,0,92,58,1378658,160034,0,1954,0,0,2400920,1538,138,0,0,0,0,0,0,0,0,15254,24696,5110,0,0,100382,17884,4494120,550448,0,0,0,0,231160,756.82,950,311566,478512,381812,200778,516068,523802,186018,51936,26386,76,0,0
neg,27060,0,,0,0,0,0,0,0,45552,881324,606398,42842,40,0,817514,0,0,0,356,922,1485720,1358200,180788,94614,0,0,0,0,0,0,0,0,0,0,0,7424,458452,1003680,106600,0,3474,996,1726,2028,428318,1139456,158,0,0,0,490450,351142,112542,77826,61160,71130,189122,222686,98,0,1667206,36,284,292,124,817514,17196,101102,79148,135540,1310700,1310700,41800,27060.1,1667206,1667206,,11151,212658,43720,453400,,1209600,0,,,,1480084.8,0.0,92564.16,,,0,0,3236,536116,710330,304688,17410,3800,576,0,,0,1667206,3302,260,27634,43226,69666,1086188,335508,10356,16,0,,,,,,,,,,960,100,0,0,0,0,0,0,0,0,9184,25932,5744,0,0,65806,8558,1436900,222420,0,0,0,0,1008350,,,101676,259042,197144,101964,231186,272010,197954,119050,95936,194,0,0
neg,18,44,36,0,0,0,0,0,0,1596,6658,866,0,0,0,3090,0,0,0,0,0,11530,8578,10156,1158,0,0,0,0,38,96,0,0,0,0,0,0,0,524,8596,0,78,8,4,424,456,2470,5680,0,0,0,7308,640,212,140,84,68,44,384,114,126,21708,4,14,24,0,3090,202,7276,2854,,,,9980,18.03,21708,21708,22616,28,0,2036,21520,9176,1209600,456,4,2,0,2992.32,0.0,5264.64,0,16,0,0,362,5320,2424,454,560,0,0,0,2,12,21708,956,16,12,168,922,1246,5242,540,18,0,98,232,3700,194,0,16,0,0,3762,72,24,0,0,0,0,0,0,0,0,182,0,0,3134,628,30,18,7580,760,22414,22,0,0,0,86.78,54,6384,2228,348,72,58,24,6,0,0,0,0,0
pos,151152,184,,0,0,0,0,24044,961596,3821366,5384148,1316180,68704,864,0,4928170,0,0,0,307666,506922,9704196,8796580,1906316,975406,0,0,0,0,0,0,0,0,0,0,0,0,0,1388852,10045796,142254,57016,33820,43578,69166,1908322,9464998,2,0,0,0,3731788,2894096,1682028,1159228,659056,414652,329610,488766,200698,16980,11922124,2768,1716,1748,38,4928170,139174,778196,1121974,200200,189420,193840,184680,151151.06,11922124,11922124,12063342,76046,80290,86600,1000580,11576902,1209600,0,,,,9341284.8,0.0,2219924.16,602,2870,878,183332,1534562,4647474,3966820,1100804,115656,25394,1982,0,,0,11922124,15504,3740,1540132,1094354,3525716,5356294,41162,0,0,0,,,,,,,,,,11688,1200,0,0,0,0,0,0,0,0,89786,52002,12852,0,0,387448,54576,27273060,2962536,0,0,0,0,47790270,5777.54,7402,2291906,2241574,1661248,703892,1502354,2501876,564802,95070,14180,0,0,0
neg,6,8,0,0,0,0,0,0,0,2,902,2380,0,0,0,1652,0,346,0,0,0,10990,8984,3272,78,0,0,0,0,6,4,0,0,0,0,0,0,0,0,3284,0,1024,18,16,26,24,140,2036,0,0,0,2258,122,42,236,48,32,254,192,46,54,14284,0,2,0,0,1652,96,2414,850,,,,3160,5.22,14284,14284,15316,19,0,1346,14140,3294,1209600,86,0,2,0,600.96,22.08,1685.76,4,14,0,0,0,26,2324,564,370,0,0,0,0,4,14284,1018,6,4,8,570,702,780,188,8,0,2,12,126,54,0,0,0,0,666,14,80,0,0,0,26,0,0,0,0,122,0,0,168,60,6,4,1660,166,0,8,0,0,0,62.14,22,2762,374,40,10,20,12,28,38,0,0,0,0
neg,372,26,22,0,0,0,0,0,0,78,8490,19758,0,0,0,11758,0,0,0,0,0,28192,24334,6150,2010,0,0,0,0,14,6,0,0,0,0,0,0,23570,4756,0,0,64,12,26,26,362,27300,536,0,0,0,16990,9630,1446,182,56,12,4,6,0,0,34378,2,92,44,0,11758,420,2370,3764,,,,5920,372.2,34378,34378,36184,76,156,3312,34160,28326,1209600,1180,0,0,0,22721.28,0,5543.04,0,0,0,0,0,5166,20674,2118,258,92,18,0,2,6,34378,124,12,390,1130,674,4570,19826,1522,78,0,46,58,22940,13492,0,4,0,8,23318,66,22,0,0,0,0,0,0,0,0,238,28,6,0,0,718,150,1360,676,0,0,0,0,0,41.76,46,6224,5630,1670,370,1036,13396,0,0,0,0,0,0
neg,908,0,,0,0,0,0,0,0,120,0,42830,12460,0,0,25714,0,56,,0,0,70644,65654,11750,2712,0,0,0,0,0,0,0,0,0,0,0,0,22164,25506,7740,0,1524,138,512,510,578,51488,660,0,0,0,31786,18122,3482,1102,254,196,350,118,0,0,82400,10,138,182,28,25714,700,6968,4696,0,0,0,11520,907.01,82400,82400,,191,1504,,82180,,1209600,0,,,,48733.44,0.0,5509.44,,,0,0,0,0,19254,35372,678,86,20,0,,0,82400,1038,14,3004,1658,4066,41060,4302,268,0,0,,,,,,,,,,64,50,,,,,,,,,344,404,114,0,0,1704,406,118860,12094,0,0,0,0,,,,7218,5776,4180,2002,6272,29946,16,0,0,0,0,0
neg,354,94,0,0,0,0,0,0,0,0,0,0,0,0,0,22030,0,0,0,4036,6800,60372,56548,19500,2734,0,0,0,0,30,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84002,4,16,28,4,22030,624,11812,7506,,,,18480,353.78,84002,84002,1778,0,3028,8002,82900,0,1209600,1476,0,0,0,27388.8,21481.92,12627.84,0,0,0,0,0,0,0,0,0,0,0,0,0,10,84002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,120,0,0,20,21490,0,0,0,0,714,0,0,0,0,0,0,0,0,65432,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neg,810,36,36,0,0,0,0,0,0,58344,23292,2698,0,0,0,18840,0,0,0,4118,6526,79456,71176,28386,5132,0,0,0,0,54,82,0,0,0,0,0,0,0,39402,44932,0,246,110,138,924,712,31128,50184,892,0,0,61086,14944,3846,2374,820,514,156,460,110,24,112104,42,22,48,0,18840,826,15900,12052,,,,27460,810.59,112104,112104,117416,295,0,10620,111060,84502,1209600,1560,2,12,0,44407.68,16386.24,22410.24,4,28,0,0,54958,18542,9826,606,402,0,0,0,20,24,112104,1218,32,1022,6368,37820,36980,894,0,0,0,32,132,46448,3642,0,2,0,0,46456,196,238,1640,28000,0,0,0,0,0,0,1004,92,28,9070,2236,826,166,283940,28350,0,92,0,0,0,219.66,164,40048,10354,3212,1200,3818,4162,6664,14768,108,0,0,0
pos,175462,0,,0,0,0,0,1320,850394,11353196,20122270,9920458,965528,1708,0,18465130,5412,126,0,292664,525168,34086784,25926660,13306156,7515344,0,0,0,0,0,0,23547578,6209874,228106,1737098,7656628,3068338,214660,250756,305318,0,33716,25240,32146,66586,5763966,36824142,472560,0,0,0,32498942,4418180,2204128,1652336,1096992,643854,508692,195056,176,0,47693164,0,3608,1202,210,18465130,835274,5065336,8227976,397660,415680,424600,133740,175462.91,47693164,47693164,47126436,124581,401656,112418,433120,43218356,1209600,0,,,,27952000.32,1137364.8,14080648.32,0,0,0,68206,977322,10480734,18779918,11478290,1245992,145346,41222,1326,,5908,47693164,44634,13504,11803334,3099130,7475854,19353124,1420112,8662,2,0,,,,,,,,,,50568,256,0,0,87820,509804,0,0,0,0,503408,2634,534,0,0,979220,151702,47197300,5703592,0,0,0,0,55528190,15646.34,19092,15742890,24985512,2059468,348208,61040,8862,4230,2860,5022,264,0,0
pos,362508,6332,5750,0,0,0,69872,663918,5615152,17889372,5945128,1226228,234870,8086,0,13714714,0,0,0,1575940,2092734,25165424,23562374,9075120,2780814,0,0,0,0,11148,2994,0,0,0,0,0,0,30306,18333746,13288574,0,294792,106534,86874,152284,5069038,20519956,3316868,2106278,2,0,15312964,5419436,2622456,1765188,1233112,953984,778944,698574,387112,2480856,35815966,25312,5616,9142,14,13714714,365234,4978594,4093944,351100,328380,345240,213480,362507.07,35815966,35815966,35676550,149414,7380,64090,726860,31608474,1209600,1058186,0,580,0,21975013.44,8666156.16,1004672.64,8184,11578,256120,1050270,5058302,7817238,6185680,3761510,2787254,2704244,1755912,276096,192,230,35815966,18966,2144,3114198,6979126,1110648,14724408,5674484,28520,132,0,9732,5400,16323568,3550822,0,537640,0,0,22183462,40382,4844,0,0,23520,9064440,0,0,0,0,193748,262180,48630,0,0,1187466,169010,12841320,1366032,0,0,0,0,24342640,5501.38,5104,9822348,4647304,4992488,1395346,2692542,7097056,719142,160764,124060,1576,0,0
neg,1390,2130706432,28,0,0,0,0,0,0,424,20568,44506,18538,0,0,38490,0,0,0,0,0,86602,77050,13838,5750,0,0,0,0,20,10,0,0,0,0,0,0,66170,3250,14616,0,122,28,62,44,2180,81598,2,0,0,0,32022,36884,9650,4454,710,142,128,46,0,0,100482,54,404,426,0,38490,1022,7034,6758,,,,13440,1390.31,100482,100482,102342,320,76,9808,100020,84036,1209600,1934,2,2,0,74599.68,0.0,9295.68,0,28,0,0,0,10088,36234,36288,990,374,62,0,0,6,100482,222,26,64,3422,2116,12362,63162,2652,10,0,28,74,63710,54334,0,6,0,10,75560,122,52,0,0,0,0,0,0,0,0,672,342,180,0,0,1176,192,859620,85964,85638,36,0,0,390350,80.5,82,10406,10840,4000,1468,4288,52974,48,12,0,0,0,0
neg,40510,818,656,0,0,0,0,0,0,78,21214,2205654,316152,3196,1154,1292670,0,310,0,0,0,2386760,2142290,802372,199068,0,0,0,0,3750,558,0,0,0,0,0,0,613320,1833264,100864,0,2770,2208,3768,178746,1749470,610482,4,0,0,0,830806,784258,314952,182792,119894,84556,86258,143910,22,0,3189360,184,200,334,0,1292670,33280,616822,184352,390060,163180,,246000,40510.39,3189360,3189360,3188126,15404,8376,74496,766600,2547448,1209600,58084,0,80,0,2363476.8,0.0,182284.8,0,0,0,0,0,0,794942,1511352,220140,16950,3916,148,296,302,3189360,3532,476,37460,117384,126114,1927390,329002,6050,40,0,1110,1528,1584272,71364,82,40728,0,0,2376300,1388,78,0,0,0,0,0,0,0,0,17468,13248,3650,0,0,78288,12692,2504000,330100,0,0,0,0,510410,1008.34,1032,195038,501542,298396,147696,555368,543150,233734,60918,11606,0,0,0
neg,45232,110,100,0,0,0,0,0,0,10506,555824,1484672,659092,51256,4170,1261036,0,0,0,0,0,2484010,2169984,492330,264786,0,0,0,0,152,30,0,0,0,0,0,15038,902092,1629218,219172,0,5556,13240,3722,63048,1620316,1056116,3522,0,0,0,764180,706202,283864,242888,213992,180012,197924,176342,116,0,2976862,152,144,548,14,1261036,34300,291194,200000,159040,217920,,110420,45231.88,2976862,2976862,2981218,19131,6024,52382,551900,2765520,1209600,71778,0,76,0,2378614.08,0.0,385231.68,0,0,0,0,1110,147832,1032548,1116218,430584,31606,5372,250,8,14,2976862,3792,486,111004,144510,224238,1950666,318678,11974,172,0,236,102,2350070,37808,0,380,0,26,2392948,1478,122,0,0,0,0,0,0,0,0,17484,49434,7578,0,0,74720,15770,106280,35188,17042,6782,0,0,5231910,924.26,1050,407986,382526,324588,166312,331644,289342,251830,190086,402538,18668,0,0
neg,40954,404,386,0,0,0,0,0,3654,277914,1670392,662410,81136,4014,0,1175448,0,0,0,9352,13836,2359188,2021600,666272,290586,0,0,0,0,660,252,0,0,0,0,0,68740,1276812,293720,1060248,0,3368,4096,3494,11002,1046042,1619146,12368,4,0,0,845902,681050,306562,218246,124360,88892,111402,319146,3960,0,3035390,80,870,610,10,1175448,38426,416792,248078,210780,311060,,138880,40954.65,3035390,3035390,3029432,17238,3822,57402,609620,2699520,1209600,70690,0,80,0,2218547.52,0.0,478699.2,0,0,0,0,90142,874316,1219764,469074,38082,6276,1792,74,174,200,3035390,4170,516,15314,201648,88598,1476626,875530,36830,288,0,606,652,2181324,347420,0,18258,0,12,2242130,1990,418,0,0,0,0,0,0,0,0,19790,28460,7042,0,0,88148,15282,57720,20320,0,0,0,0,39954790,1125.18,1266,503188,321976,235194,129544,369642,788758,243800,58122,45632,3664,0,0
neg,32492,2130706468,300,0,0,0,0,0,0,300,63346,1367608,635058,37594,1212,981222,0,0,0,0,0,1823406,1537374,387250,252570,0,0,0,0,836,170,0,0,0,0,0,85534,777720,897440,344424,0,3830,2090,6920,4520,38622,2048130,1006,0,0,0,630500,478316,147516,126144,113036,102280,134640,362978,9708,0,2210836,152,226,934,24,981222,32046,189156,196418,215660,,,168700,32491.96,2210836,2210836,2209508,16728,1940,97864,998180,2105118,1209600,65494,2,38,0,1731504.0,0.0,370939.2,28,502,0,0,0,1338,542862,1268476,279556,11068,1792,26,2,6,2210836,3680,286,58966,236670,114250,1245752,439498,5948,68,0,484,544,1729620,11502,0,4444,0,0,1749878,1404,190,0,0,0,0,0,0,0,0,20114,26996,10780,0,0,68452,11326,4288340,435030,0,0,0,0,2492020,1046.22,638,383840,338268,248936,119984,217296,165980,147894,117770,316512,48638,0,0
neg,26,2130706442,20,0,0,0,0,0,0,52,3370,1514,2556,0,0,2988,0,0,0,0,0,8268,5618,8556,1252,0,0,0,0,50,22,0,0,0,0,0,0,7492,0,0,0,60,16,16,22,1012,6364,2,0,0,0,6198,1040,144,58,26,12,14,0,0,0,16834,0,6,2,0,2988,230,5876,2666,,,,8500,25.36,16834,16834,18124,15,0,1582,16800,7492,1209600,574,2,2,0,4262.4,0.0,3182.4,0,14,0,0,0,1974,1512,3862,110,34,0,0,2,6,16834,80,4,16,946,330,2052,3256,784,24,0,44,128,4384,26,0,0,0,16,4722,60,26,0,0,0,0,0,0,0,0,166,0,0,0,0,270,80,14420,1434,0,0,0,0,0,32.68,34,3616,3340,396,70,70,0,0,0,0,0,0,0
neg,156736,138,110,0,0,0,0,0,0,732650,4524260,2709506,642408,115582,11554,4125102,0,60,0,1884,2450,7948700,7126068,2052724,695306,0,0,0,0,62,1370,0,0,0,0,0,0,614,6569002,2166344,0,11366,11126,16150,45518,4791496,3860304,0,0,0,0,1867366,3760622,1294464,566782,351616,255882,242712,335168,61202,146,10004460,6038,13714,23044,4,4125102,108064,1511274,536956,237480,282060,199900,77320,156736.21,10004460,10004460,10002166,52210,52,23836,314160,8735960,1209600,182748,0,130,0,7565568.96,125.76,1162511.04,156,1426,0,0,40016,1982674,3570814,2420910,660642,51708,8620,576,116,120,10004460,7632,1026,913474,268844,6347634,1195510,1840,0,0,0,88,3830,7639622,4515310,0,398,0,0,7640968,6168,826,0,0,70,138,0,0,0,0,49122,57372,18652,19202046,2375438,221456,27972,13640,1406,9877238,73528,0,0,8393190,1784.96,2382,1198086,726966,628460,235634,552228,786618,3574540,1025262,8166,0,0,0
neg,424,430,312,0,0,0,0,0,0,172,8116,35724,2022,0,0,19080,0,0,0,0,0,45500,38250,11596,3146,0,0,0,0,142,300,0,0,0,0,0,0,45886,148,0,0,172,70,92,166,15092,30424,18,0,0,0,32756,10570,1978,492,160,44,34,0,0,0,57150,2,18,32,0,19080,778,4912,6578,,,,11120,423.0,57150,57150,58156,103,442,5386,56620,46034,1209600,1912,2,6,0,29211.84,0,16708.8,0,0,0,0,0,4276,27274,13650,562,228,44,0,0,8,57150,286,32,804,4134,2394,12032,23990,2208,154,0,388,460,29242,3324,0,72,0,54,30168,118,72,0,0,0,16,0,0,0,0,454,12,12,0,0,1266,318,3660,1174,0,0,0,0,0,101.54,102,18228,9736,4220,1622,5848,1068,720,942,3304,346,0,0
neg,30472,0,0,0,0,0,0,0,0,426,130164,2794204,1132766,72670,4616,1762166,0,0,0,0,0,3588436,3027330,724544,484240,0,0,6304,0,0,0,0,0,0,0,0,26942,1035646,2886036,186222,0,2278,402,1042,121876,3159190,850012,46,0,0,0,1474144,806894,316646,240706,201366,186446,375322,533322,0,0,4313626,0,0,0,0,1762166,46874,334116,386370,188060,177700,269460,81960,30472.3,4313626,4313626,4303612,30896,0,62556,676400,4134846,1209600,0,0,0,0,3384998.4,15873.6,730872.0,0,0,0,0,0,8880,942896,2359908,780862,33612,7946,742,0,0,4313626,5276,604,3978,303278,373518,2962050,474886,11168,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28834,0,0,0,0,0,0,0,0,0,0,0,0,0,1508.54,1642,768890,858598,611900,268978,510700,455730,295016,152784,205834,6416,0,0
neg,2072,188,160,0,0,0,0,0,0,15112,70314,37596,418,0,0,52554,0,0,0,0,0,123274,113548,22592,6668,0,0,0,0,66,120,0,0,0,0,0,8202,93528,4996,16714,0,1760,26,58,68,6400,113562,1566,0,0,0,40684,56324,14714,7104,2366,1140,872,236,0,0,145882,20,22,2394,0,52554,1354,15298,7242,,,,22240,2072.96,145882,145882,153566,459,0,14370,145500,123440,1209600,3404,2,4,0,110962.6,0.0,10712.64,0,0,0,0,1512,75634,33838,11700,578,178,0,0,0,4,145882,1852,32,108,5212,3134,31222,79486,2350,44,0,290,394,111954,61532,0,62,0,0,112062,120,70,0,0,0,0,0,0,0,0,658,466,178,0,0,2452,656,1080,110,0,0,0,0,1072990,79.68,78,13526,14102,10680,5840,16704,57140,5248,164,36,0,0,0
neg,25322,0,,0,0,0,0,0,0,13490,303096,1576062,959908,86024,434,1417596,0,0,0,0,0,2559622,2175836,554324,285374,0,0,0,0,0,0,0,0,0,0,0,0,555940,2381598,1476,0,7040,2208,2422,2658,75928,2848672,72,14,0,0,1645840,590062,242154,146762,121134,191420,1642,0,0,0,3115632,0,52,120,416,1417596,58760,169204,382888,217720,195160,,126800,25322.38,3115632,3115632,3136930,13024,147430,61656,681140,2939014,1209600,0,,,,2144641.92,379948.8,406116.48,0,336,0,0,474,65576,576644,1163750,1014012,105632,11792,1134,,864,3115632,12258,1650,120168,458840,232762,1079270,984294,49406,366,0,,,,,,,,,,7350,1038,0,0,186850,447794,0,0,0,0,32292,16534,2936,0,0,96044,15792,6633500,805196,0,0,0,0,1306700,3037.5,3758,831616,1139938,283036,94498,151854,134674,116002,74514,108314,4568,0,0
